use_case_topic_area,ai_classification,high_impact_status,stage_of_development,canonical_agency
Administrative Functions,Agentic AI,high_impact,Deployed,Board of Governors of the Federal Reserve System
Cybersecurity,Classical/Predictive Machine Learning,not_high_impact,Retired,Commodity Futures Trading Commission
Emergency Management,Computer Vision,presumed_high_impact_not_high_impact,Pre-deployment,Consumer Financial Protection Bureau
Energy & the Environment,Generative AI,,Pilot,Department of Agriculture
Government Benefits Processing,Natural Language Processing,,,Department of Commerce
Health & Medical,Other,,,Department of Education
Human Resources,Reinforcement Learning,,,Department of Energy
Information Technology,,,,Department of Health and Human Services
International Affairs,,,,Department of Homeland Security
Law Enforcement,,,,Department of Housing and Urban Development
Other,,,,Department of Justice
Other - Applied Mathematical Sciences,,,,Department of Labor
Other – Economic & Financial,,,,Department of State
Procurement & Financial Management,,,,Department of Transportation
Science,,,,Department of Veterans Affairs
Service Delivery,,,,Department of the Interior
Transportation,,,,Department of the Treasury
,,,,Environmental Protection Agency
,,,,Federal Deposit Insurance Corporation
,,,,Federal Housing Finance Agency
,,,,Federal Trade Commission
,,,,General Services Administration
,,,,National Aeronautics and Space Administration
,,,,National Credit Union Administration
,,,,National Science Foundation
,,,,National Transportation Safety Board
,,,,Nuclear Regulatory Commission
,,,,Office of Personnel Management
,,,,Pension Benefit Guaranty Corporation
,,,,Presidio Trust
,,,,Securities and Exchange Commission
,,,,Social Security Administration
,,,,Tennessee Valley Authority
,,,,U.S. Agency for Global Media
,,,,U.S. Agency for International Development
,,,,U.S. Commission on Civil Rights
,,,,U.S. Election Assistance Commission
